Date,Close
2005-04-18,"1,145.98"
2005-04-19,"1,152.78"
2005-04-20,"1,137.50"
2005-04-21,"1,159.95"
2005-04-22,"1,152.12"
2005-04-25,"1,162.10"
2005-04-26,"1,151.74"
2005-04-27,"1,156.38"
2005-04-28,"1,143.22"
2005-04-29,"1,156.85"
2005-05-02,"1,162.16"
2005-05-03,"1,161.17"
2005-05-04,"1,175.65"
2005-05-06,"1,171.35"
2005-05-09,"1,178.84"
2005-05-10,"1,166.22"
2005-05-11,"1,171.11"
2005-05-12,"1,159.36"
2005-05-13,"1,154.05"
2005-05-16,"1,165.69"
2005-05-17,"1,173.80"
2005-05-18,"1,185.56"
2005-05-19,"1,191.08"
2005-05-20,"1,189.28"
2005-05-23,"1,193.86"
2005-05-24,"1,194.07"
2005-05-25,"1,190.01"
2005-05-26,"1,197.62"
2005-05-27,"1,198.78"
2005-05-30,"1,198.78"
2005-05-31,"1,191.50"
2005-06-01,"1,202.22"
2005-06-02,"1,204.29"
2005-06-03,"1,196.02"
2005-06-07,"1,197.26"
2005-06-08,"1,194.67"
2005-06-09,"1,200.93"
2005-06-10,"1,198.11"
2005-06-13,"1,200.82"
2005-06-14,"1,203.91"
2005-06-15,"1,206.58"
2005-06-16,"1,210.96"
2005-06-17,"1,216.96"
2005-06-20,"1,216.10"
2005-06-21,"1,213.62"
2005-06-22,"1,213.88"
2005-06-23,"1,200.73"
2005-06-24,"1,191.57"
2005-06-27,"1,190.69"
2005-06-28,"1,201.57"
2005-06-29,"1,199.85"
2005-06-30,"1,191.33"
2005-07-01,"1,194.44"
2005-07-04,"1,194.44"
2005-07-05,"1,204.99"
2005-07-06,"1,194.94"
2005-07-07,"1,197.87"
2005-07-08,"1,211.86"
2005-07-11,"1,219.44"
2005-07-12,"1,222.21"
2005-07-13,"1,223.29"
2005-07-14,"1,226.50"
2005-07-15,"1,227.92"
2005-07-18,"1,221.13"
2005-07-19,"1,229.35"
2005-07-20,"1,235.20"
2005-07-21,"1,227.04"
2005-07-22,"1,233.68"
2005-07-25,"1,229.03"
2005-07-26,"1,231.16"
2005-07-27,"1,236.79"
2005-07-28,"1,243.72"
2005-07-29,"1,234.18"
2005-08-01,"1,235.35"
2005-08-02,"1,244.12"
2005-08-03,"1,245.04"
2005-08-04,"1,235.86"
2005-08-05,"1,226.42"
2005-08-08,"1,223.13"
2005-08-09,"1,231.38"
2005-08-10,"1,229.13"
2005-08-11,"1,237.81"
2005-08-12,"1,230.39"
2005-08-16,"1,219.34"
2005-08-17,"1,220.24"
2005-08-18,"1,219.02"
2005-08-19,"1,219.71"
2005-08-22,"1,221.73"
2005-08-23,"1,217.59"
2005-08-24,"1,209.59"
2005-08-25,"1,212.37"
2005-08-26,"1,205.10"
2005-08-29,"1,212.28"
2005-08-30,"1,208.41"
2005-08-31,"1,220.33"
2005-09-01,"1,221.59"
2005-09-02,"1,218.02"
2005-09-05,"1,218.02"
2005-09-06,"1,233.39"
2005-09-07,"1,236.36"
2005-09-08,"1,231.67"
2005-09-09,"1,241.48"
2005-09-12,"1,240.56"
2005-09-13,"1,231.20"
2005-09-14,"1,227.16"
2005-09-15,"1,227.73"
2005-09-16,"1,237.91"
2005-09-20,"1,221.34"
2005-09-21,"1,210.20"
2005-09-22,"1,214.62"
2005-09-23,"1,215.29"
2005-09-26,"1,215.63"
2005-09-27,"1,215.66"
2005-09-28,"1,216.89"
2005-09-29,"1,227.68"
2005-09-30,"1,228.81"
2005-10-04,"1,214.47"
2005-10-05,"1,191.49"
2005-10-06,"1,191.49"
2005-10-07,"1,195.90"
2005-10-10,"1,187.33"
2005-10-11,"1,184.87"
2005-10-12,"1,177.68"
2005-10-13,"1,176.84"
2005-10-14,"1,186.57"
2005-10-17,"1,190.10"
2005-10-18,"1,178.14"
